Order	Score	Word	IsRandom	Ngrams
123	26.41	milagros   	 	ag(5.21), gr(4.78), os(4.24), ro(3.36), mi(3.18), il(3.07), la(2.56)
124	26.37	alejandra  	 	ej(6.51), dr(4.00), nd(3.39), ja(3.05), ra(2.72), al(2.57), le(2.36), an(1.78)
125	26.35	dorothy    	 	hy(6.22), ot(5.41), do(4.03), or(3.68), th(3.64), ro(3.36)
126	26.35	memphis    	 	mp(6.22), ph(4.72), hi(4.62), em(3.97), me(3.83), is(2.99)
127	26.30	alexander  	 	xa(5.53), ex(5.05), nd(3.39), de(3.01), er(2.62), al(2.57), le(2.36), an(1.78)
128	26.25	franklin   	 	nk(6.00), kl(5.82), fr(4.90), ra(2.72), in(2.66), li(2.36), an(1.78)
129	26.24	giovanni   	 	ov(5.41), gi(4.39), io(4.32), va(4.08), ni(3.39), nn(2.87), an(1.78)
130	26.21	giancarlo  	 	gi(4.39), nc(4.18), rl(4.03), lo(3.80), ca(3.22), ia(2.49), ar(2.33), an(1.78)
131	26.20	salvador   	 	lv(5.31), va(4.08), do(4.03), or(3.68), ad(3.28), sa(3.25), al(2.57)
132	26.20	juliette   	 	ju(4.39), tt(4.39), ul(4.35), et(4.00), te(3.74), ie(2.96), li(2.36)
133	26.19	phoenix    	 	ix(5.82), ho(5.05), oe(4.90), ph(4.72), ni(3.39), en(2.31)
134	26.19	phoenix    	 	ix(5.82), ho(5.05), oe(4.90), ph(4.72), ni(3.39), en(2.31)
135	26.15	dominick   	 	om(4.84), ck(4.32), do(4.03), ic(3.74), ni(3.39), mi(3.18), in(2.66)
136	26.14	journee    	 	ou(5.53), rn(5.31), ur(4.62), jo(3.83), ee(3.78), ne(3.08)
137	26.14	qwerpo     	*	qw(6.51), rp(6.22), po(6.00), we(4.78), er(2.62)
138	26.13	bryleigh   	 	gh(4.84), ig(4.52), ei(4.43), ry(3.57), yl(3.29), br(3.12), le(2.36)
139	26.12	sullivan   	 	su(5.66), iv(4.84), ul(4.35), va(4.08), ll(3.04), li(2.36), an(1.78)
140	26.11	valentino  	 	no(4.21), nt(4.11), va(4.08), ti(3.80), in(2.66), al(2.57), le(2.36), en(2.31)
141	26.09	elisabeth  	 	et(4.00), ab(3.95), th(3.64), be(3.60), sa(3.25), is(2.99), li(2.36), el(2.29)
142	26.08	mercedes   	 	rc(5.21), ed(4.28), me(3.83), es(3.64), ce(3.50), de(3.01), er(2.62)
143	26.07	princess   	 	pr(5.53), nc(4.18), ss(4.11), es(3.64), ce(3.50), in(2.66), ri(2.45)
144	26.05	patricia   	 	pa(4.67), ci(4.62), tr(4.43), ic(3.74), at(3.66), ia(2.49), ri(2.45)
145	26.02	penelope   	 	pe(9.23), op(5.31), lo(3.80), ne(3.08), en(2.31), el(2.29)
146	25.97	mohammad   	 	oh(4.90), mm(4.84), mo(4.35), ad(3.28), am(3.10), ha(2.92), ma(2.58)
147	25.94	lizbeth    	 	zb(6.92), iz(5.41), et(4.00), th(3.64), be(3.60), li(2.36)
148	25.92	victoria   	 	ct(6.22), ic(3.74), vi(3.74), or(3.68), to(3.60), ia(2.49), ri(2.45)
149	25.88	alfonso    	 	fo(6.22), lf(6.00), ns(5.05), so(3.59), al(2.57), on(2.45)
150	25.85	scarlett   	 	sc(5.53), tt(4.39), rl(4.03), et(4.00), ca(3.22), le(2.36), ar(2.33)
151	25.85	cassandra  	 	ss(4.11), dr(4.00), nd(3.39), as(3.38), sa(3.25), ca(3.22), ra(2.72), an(1.78)
152	25.83	nickolas   	 	ko(4.67), ck(4.32), ol(3.78), ic(3.74), ni(3.39), as(3.38), la(2.56)
153	25.81	juniper    	 	ip(5.66), un(5.13), pe(4.62), ju(4.39), ni(3.39), er(2.62)
154	25.80	deshawn    	 	wn(6.51), aw(5.66), sh(4.06), es(3.64), de(3.01), ha(2.92)
155	25.75	gregory    	 	go(5.82), eg(4.97), gr(4.78), or(3.68), ry(3.57), re(2.94)
156	25.74	kassandra  	 	ss(4.11), dr(4.00), nd(3.39), as(3.38), sa(3.25), ka(3.11), ra(2.72), an(1.78)
157	25.72	carleigh   	 	gh(4.84), ig(4.52), ei(4.43), rl(4.03), ca(3.22), le(2.36), ar(2.33)
158	25.72	nehemiah   	 	eh(6.00), em(3.97), he(3.80), ah(3.19), mi(3.18), ne(3.08), ia(2.49)
159	25.69	journey    	 	ou(5.53), rn(5.31), ur(4.62), jo(3.83), ey(3.33), ne(3.08)
