Order	Score	Word	IsRandom	Ngrams
176	13.44	yaretzi    	 	tz(4.23), zi(3.76), et(2.22), ya(1.52), re(1.16), ar(0.55)
177	13.43	ibrahim    	 	ib(4.23), hi(2.84), im(2.66), ah(1.42), br(1.35), ra(0.94)
178	13.42	scarlett   	 	sc(3.76), tt(2.62), rl(2.25), et(2.22), ca(1.44), le(0.58), ar(0.55)
179	13.40	cooper     	 	oo(4.04), op(3.53), pe(2.84), co(2.15), er(0.84)
180	13.40	emersyn    	 	sy(3.64), rs(3.35), em(2.20), me(2.05), yn(1.32), er(0.84)
181	13.40	nickolas   	 	ko(2.89), ck(2.54), ol(2.01), ic(1.96), ni(1.62), as(1.60), la(0.78)
182	13.39	joseph     	 	ep(4.04), ph(2.94), os(2.47), jo(2.05), se(1.88)
183	13.37	xzavier    	 	xz(4.74), za(2.34), av(2.31), vi(1.96), ie(1.18), er(0.84)
184	13.37	jazlynn    	 	zl(4.74), az(3.53), ly(1.42), yn(1.32), ja(1.27), nn(1.09)
185	13.34	korbin     	 	rb(4.23), bi(3.44), ko(2.89), or(1.90), in(0.89)
186	13.33	tabitha    	 	bi(3.44), it(2.47), ta(2.25), ab(2.17), th(1.86), ha(1.14)
187	13.31	broderick  	 	od(3.13), ck(2.54), ic(1.96), ro(1.59), br(1.35), de(1.23), er(0.84), ri(0.67)
188	13.29	carleigh   	 	gh(3.06), ig(2.74), ei(2.66), rl(2.25), ca(1.44), le(0.58), ar(0.55)
189	13.28	nehemiah   	 	eh(4.23), em(2.20), he(2.03), ah(1.42), mi(1.40), ne(1.30), ia(0.71)
190	13.27	maksim     	 	ks(4.45), ak(2.89), im(2.66), si(2.47), ma(0.80)
191	13.27	rebekah    	 	ek(3.89), eb(3.64), be(1.83), ah(1.42), ka(1.34), re(1.16)
192	13.26	kyleigh    	 	gh(3.06), ig(2.74), ky(2.70), ei(2.66), yl(1.52), le(0.58)
193	13.25	nicholas   	 	ho(3.27), ch(2.01), ol(2.01), ic(1.96), ni(1.62), as(1.60), la(0.78)
194	13.23	stephen    	 	ep(4.04), ph(2.94), he(2.03), te(1.96), st(1.72), en(0.53)
195	13.23	liberty    	 	ib(4.23), ty(3.00), rt(2.74), be(1.83), er(0.84), li(0.59)
196	13.22	addisyn    	 	sy(3.64), dd(3.35), di(2.20), ad(1.50), yn(1.32), is(1.21)
197	13.18	alexandra  	 	xa(3.76), ex(3.27), dr(2.22), nd(1.62), ra(0.94), al(0.79), le(0.58), an(0.00)
198	13.17	lincoln    	 	ln(5.14), nc(2.40), co(2.15), ol(2.01), in(0.89), li(0.59)
199	13.17	george     	 	ge(4.62), rg(3.76), eo(2.89), or(1.90)
200	13.15	barbara    	 	ba(6.87), rb(4.23), ar(1.10), ra(0.94)
201	13.14	jimmy      	 	ji(4.23), my(3.20), mm(3.06), im(2.66)
202	13.12	markus     	 	ku(5.14), rk(4.23), us(2.40), ma(0.80), ar(0.55)
203	13.12	christina  	 	hr(3.89), ti(2.03), ch(2.01), st(1.72), is(1.21), in(0.89), na(0.70), ri(0.67)
204	13.10	krystal    	 	kr(3.89), ys(2.66), ta(2.25), ry(1.79), st(1.72), al(0.79)
205	13.10	dakota     	 	ot(3.64), ak(2.89), ko(2.89), ta(2.25), da(1.43)
206	13.10	dakota     	 	ot(3.64), ak(2.89), ko(2.89), ta(2.25), da(1.43)
207	13.09	meredith   	 	ed(2.50), it(2.47), di(2.20), me(2.05), th(1.86), re(1.16), er(0.84)
208	13.09	kayleigh   	 	gh(3.06), ig(2.74), ei(2.66), yl(1.52), ka(1.34), ay(1.19), le(0.58)
209	13.08	brooke     	 	ok(4.23), oo(4.04), ke(1.88), ro(1.59), br(1.35)
210	13.08	dulce      	 	lc(4.74), du(4.04), ul(2.58), ce(1.72)
211	13.08	gilbert    	 	lb(3.76), rt(2.74), gi(2.62), be(1.83), il(1.29), er(0.84)
212	13.07	joziah     	 	oz(5.14), zi(3.76), jo(2.05), ah(1.42), ia(0.71)
213	13.05	johnny     	 	hn(3.89), oh(3.13), ny(2.89), jo(2.05), nn(1.09)
214	13.04	cyrus      	 	cy(3.76), ru(3.53), yr(3.35), us(2.40)
215	13.02	deborah    	 	bo(3.89), eb(3.64), or(1.90), ah(1.42), de(1.23), ra(0.94)
216	13.00	beatrice   	 	tr(2.66), ea(2.28), ic(1.96), at(1.88), be(1.83), ce(1.72), ri(0.67)
217	12.99	jackson    	 	ks(4.45), ck(2.54), ac(2.25), so(1.81), ja(1.27), on(0.68)
218	12.93	nevaeh     	 	eh(4.23), ev(2.66), ae(2.43), va(2.31), ne(1.30)
219	12.91	lorenzo    	 	zo(3.76), nz(3.53), lo(2.03), or(1.90), re(1.16), en(0.53)
220	12.90	hayleigh   	 	gh(3.06), ig(2.74), ei(2.66), yl(1.52), ay(1.19), ha(1.14), le(0.58)
221	12.90	giovanna   	 	ov(3.64), gi(2.62), io(2.54), va(2.31), nn(1.09), na(0.70), an(0.00)
222	12.88	barrett    	 	ba(3.44), rr(2.89), tt(2.62), et(2.22), re(1.16), ar(0.55)
223	12.86	curtis     	 	cu(4.04), ur(2.84), rt(2.74), ti(2.03), is(1.21)
224	12.86	cassidy    	 	id(2.58), si(2.47), dy(2.43), ss(2.34), as(1.60), ca(1.44)
225	12.84	khloe      	 	kh(4.04), hl(3.64), oe(3.13), lo(2.03)
226	12.83	cynthia    	 	cy(3.76), hi(2.84), nt(2.34), th(1.86), yn(1.32), ia(0.71)
227	12.82	mekhi      	 	kh(4.04), ek(3.89), hi(2.84), me(2.05)
228	12.81	phillip    	 	ip(3.89), ph(2.94), hi(2.84), il(1.29), ll(1.26), li(0.59)
229	12.81	alejandro  	 	ej(4.74), dr(2.22), nd(1.62), ro(1.59), ja(1.27), al(0.79), le(0.58), an(0.00)
230	12.80	cortez     	 	ez(4.04), rt(2.74), co(2.15), te(1.96), or(1.90)
231	12.79	claudia    	 	cl(3.35), ud(3.35), au(2.40), di(2.20), la(0.78), ia(0.71)
232	12.78	justus     	 	us(4.80), tu(3.64), ju(2.62), st(1.72)
233	12.77	maggie     	 	gg(4.74), ag(3.44), gi(2.62), ie(1.18), ma(0.80)
234	12.75	kassidy    	 	id(2.58), si(2.47), dy(2.43), ss(2.34), as(1.60), ka(1.34)
235	12.75	crystal    	 	cr(3.53), ys(2.66), ta(2.25), ry(1.79), st(1.72), al(0.79)
236	12.73	jessica    	 	je(2.66), si(2.47), ss(2.34), ic(1.96), es(1.86), ca(1.44)
237	12.73	matthew    	 	ew(3.53), tt(2.62), he(2.03), at(1.88), th(1.86), ma(0.80)
238	12.72	mohamed    	 	oh(3.13), mo(2.58), ed(2.50), me(2.05), am(1.32), ha(1.14)
239	12.72	giovani    	 	ov(3.64), gi(2.62), io(2.54), va(2.31), ni(1.62), an(0.00)
240	12.69	yosef      	 	yo(4.45), ef(3.89), os(2.47), se(1.88)
